model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
CatBoost,maccs,350,0.2,167,0.956674796,2.651501709,2.679241695,3.39252E+15,16.44276025,17.05226216,15.87635102,TRUE,TRUE,TRUE
CatBoost,maccs,300,0.2,167,0.938624369,2.641090245,3.079709327,2.77736E+15,11.97557279,14.27329894,14.24752897,TRUE,TRUE,TRUE
XGBoost,descriptors,350,0.2,217,0.925778554,2.336973861,3.506761996,2.36073E+15,37.53436279,37.53436279,37.53870392,TRUE,TRUE,TRUE
RandomForest,maccs,275,0.2,167,0.911436669,3.1272,3.425264469,1.1394E+15,14.55392,14.703,14.7741,TRUE,TRUE,TRUE
XGBoost,descriptors,300,0.2,217,0.895411531,2.976309338,4.020255406,4.96482E+15,37.53311539,37.53356171,37.53801727,TRUE,TRUE,TRUE
RandomForest,maccs,300,0.2,167,0.878046258,4.3112725,4.341195133,3.9963E+15,18.14221,17.73702,18.19645,TRUE,TRUE,TRUE
RandomForest,maccs,275,0.3,167,0.864662962,3.203135,3.892052386,1.28765E+15,12.18215,12.56249,12.749,TRUE,TRUE,TRUE
RandomForest,rdkit,300,0.2,512,0.861538691,3.695115,4.625683978,3.22623E+15,13.48459,14.28274,10.94023,TRUE,TRUE,TRUE
CatBoost,maccs,300,0.3,167,0.852726322,3.719001554,4.096044062,2.02077E+15,14.27127804,15.48510488,18.01645681,TRUE,TRUE,TRUE
CatBoost,maccs,275,0.2,167,0.846042973,3.618064001,4.516134812,2.39967E+15,13.56437817,14.23900525,13.61013813,TRUE,TRUE,TRUE
CatBoost,maccs,400,0.3,167,0.837962378,3.290202332,4.233410992,0.653875954,10.80937869,10.17276816,12.28052077,TRUE,TRUE,TRUE
XGBoost,descriptors,300,0.3,217,0.825844091,3.58423925,4.454214842,1.13747E+15,37.53395844,37.53395844,37.5387764,TRUE,TRUE,TRUE
RandomForest,maccs,400,0.3,167,0.814873275,3.57548,4.524984143,0.804850661,14.18138,14.7352,14.33932,TRUE,TRUE,TRUE
XGBoost,descriptors,400,0.3,217,0.780097252,3.683077404,4.931713402,0.488094921,37.5337677,37.5337677,37.5387764,TRUE,TRUE,TRUE
RandomForest,descriptors,275,0.2,217,0.76463873,4.455495,5.583861505,2.04349E+15,14.89227,15.89272,19.11867,TRUE,TRUE,TRUE
RandomForest,maccs,350,0.2,167,0.758221269,6.1238625,6.329226419,3.97777E+15,16.6929,16.47145,16.63932,TRUE,TRUE,TRUE
RandomForest,maccs,400,0.2,167,0.754293658,4.882765,5.478156192,0.570364043,12.47396,12.98156,12.64011,TRUE,TRUE,TRUE
RandomForest,maccs,300,0.3,167,0.752141995,4.762806667,5.313779498,2.22806E+15,14.32747,14.37573,14.36495,TRUE,TRUE,TRUE
XGBoost,descriptors,400,0.2,217,0.704995195,5.355258575,6.002618911,0.577453374,37.53125763,37.53125763,37.53874969,TRUE,TRUE,TRUE
XGBoost,rdkit,325,0.2,512,0.97545914,0.379521471,0.532556604,8.11404E+14,30.85842896,3.758371592,7.218065739,FALSE,TRUE,FALSE
XGBoost,all,325,0.2,1408,0.963243111,0.606670279,0.651763841,8.91099E+14,2.079491138,8.871981621,15.41104221,FALSE,TRUE,FALSE
CatBoost,maccs,275,0.3,167,0.946822383,2.229357228,2.439690748,2.11903E+15,9.521185728,8.695909757,10.40631392,FALSE,TRUE,FALSE
XGBoost,rdkit,300,0.2,512,0.926685944,1.931493693,3.365932205,9.67735E+14,37.53307343,5.02901268,8.418373108,FALSE,TRUE,FALSE
XGBoost,maccs,300,0.2,167,0.908022884,3.092686781,3.77008929,1.11613E+15,2.445991993,0.720727384,2.446939945,FALSE,TRUE,FALSE
XGBoost,rdkit,350,0.2,512,0.887319039,3.098953353,4.320826783,1.90992E+14,37.53685379,7.374659538,7.383062363,FALSE,TRUE,FALSE
XGBoost,maccs,350,0.2,167,0.88279342,3.654775002,4.406741564,1.56662E+15,1.10087359,1.476679802,1.098700047,FALSE,TRUE,FALSE
CatBoost,maccs,400,0.2,167,0.817003171,4.110191632,4.727679306,0.475262341,9.236267087,10.33762625,10.6590024,FALSE,TRUE,FALSE
XGBoost,rdkit,325,0.3,512,0.805652064,0.94513117,1.310913449,1.11506E+15,30.85900116,2.884931803,7.834130764,FALSE,TRUE,FALSE
XGBoost,maccs,400,0.3,167,0.759443674,4.006821721,5.158113492,0.682415514,1.081923842,1.37946403,1.096236348,FALSE,TRUE,FALSE
XGBoost,maccs,300,0.3,167,0.709277418,4.936764481,5.754948441,1.14437E+15,1.501865745,1.43806839,1.547817111,FALSE,TRUE,FALSE
XGBoost,maccs,400,0.2,167,0.701303188,5.405424019,6.040063732,0.591344437,0.959899366,2.48361969,0.959899366,FALSE,TRUE,FALSE
XGBoost,morgan,350,0.2,512,0.684562781,4.18158301,7.229330048,1.09843E+15,6.90156126,1.979716778,1.951869607,FALSE,FALSE,FALSE
RandomForest,rdkit,350,0.2,512,0.682705767,6.2190675,7.250578762,3.78741E+15,13.5068,12.9327,9.50826,FALSE,FALSE,FALSE
RandomForest,all,275,0.2,1408,0.672444456,4.37001,6.587332967,2.24707E+15,14.416,16.57556,17.65922,TRUE,FALSE,FALSE
CatBoost,descriptors,300,0.2,217,0.667739519,5.4556486,7.165575674,3.81359E+15,8.574642297,11.1549798,12.16643848,FALSE,FALSE,FALSE
RandomForest,all,300,0.2,1408,0.66203516,5.463415,7.226824412,4.77431E+15,12.02086,15.5262,16.13835,TRUE,FALSE,FALSE
RandomForest,descriptors,400,0.3,217,0.660448742,4.757255,6.128231666,1.230398431,14.31187,16.06492,19.406,TRUE,FALSE,FALSE
XGBoost,all,300,0.2,1408,0.654289449,4.611861655,7.30916994,1.37637E+15,2.756587029,6.000494957,6.32313633,FALSE,FALSE,FALSE
RandomForest,descriptors,275,0.3,217,0.651256687,3.946486667,6.247744887,8.57763E+14,12.92845,12.63848,14.26669,TRUE,FALSE,FALSE
XGBoost,all,350,0.2,1408,0.641386082,5.290117295,7.708238715,1.42968E+15,1.383041024,8.559418678,8.490511894,FALSE,FALSE,FALSE
CatBoost,descriptors,350,0.2,217,0.637866963,6.10999141,7.745967288,4.39052E+15,10.29604511,10.7905261,12.14213843,TRUE,FALSE,FALSE
XGBoost,all,325,0.3,1408,0.636494457,1.447919075,1.792831902,2.90564E+15,1.50605762,5.49685955,8.380028725,FALSE,FALSE,FALSE
RandomForest,rdkit,275,0.3,512,0.613756086,5.61587,6.575081918,3.92139E+15,13.8975,14.60783,10.55648,TRUE,FALSE,FALSE
XGBoost,maccs,325,0.2,167,0.609234148,1.878035162,2.125099119,2.09061E+15,2.403240919,1.265517831,2.448587894,FALSE,FALSE,FALSE
CatBoost,descriptors,400,0.3,217,0.593321035,4.89285181,6.706691921,1.080907881,9.115954904,11.88686515,14.27022833,FALSE,FALSE,FALSE
CatBoost,descriptors,300,0.3,217,0.580278643,5.481087846,6.914847198,2.28811E+15,9.55119156,9.368999155,14.42741872,FALSE,FALSE,FALSE
RandomForest,rdkit,275,0.2,512,0.576399022,6.688685,7.491100368,6.98125E+15,15.37761,16.54021,12.33867,TRUE,FALSE,FALSE
XGBoost,morgan,300,0.2,512,0.570333986,5.922182502,8.148492009,2.04381E+15,7.303683758,1.927615404,2.120227337,FALSE,FALSE,FALSE
CatBoost,all,400,0.3,1408,0.560326566,4.981705866,6.973448776,0.998483624,7.268248612,9.326648101,10.29394318,FALSE,FALSE,FALSE
CatBoost,morgan,350,0.2,512,0.538719925,6.199814368,8.742264314,8.49483E+15,5.430381131,6.285954066,5.905597873,FALSE,FALSE,FALSE
CatBoost,descriptors,275,0.2,217,0.536509119,5.986514729,7.835879267,1.76123E+15,8.95735325,10.87007092,16.9488569,FALSE,FALSE,FALSE
RandomForest,descriptors,350,0.2,217,0.530689271,7.16993,8.818035165,7.59836E+15,12.24518,14.54645,15.02747,TRUE,FALSE,FALSE
RandomForest,all,275,0.3,1408,0.529919716,4.517051667,7.253646083,2.09844E+15,10.6962,12.86494,14.73319,TRUE,FALSE,FALSE
XGBoost,morgan,300,0.3,512,0.528921458,5.23897134,7.325693003,1.42502E+15,7.372408867,1.897626758,2.065928936,FALSE,FALSE,FALSE
CatBoost,all,300,0.3,1408,0.52761603,5.375379429,7.335836265,2.78361E+15,7.799675375,10.76875639,10.25514765,FALSE,FALSE,FALSE
CatBoost,descriptors,275,0.3,217,0.518078582,5.63799639,7.344436117,1.49078E+15,12.34492949,10.91506588,17.67061792,TRUE,FALSE,FALSE
RandomForest,descriptors,400,0.2,217,0.512469976,6.3906625,7.716616387,0.551164892,14.72088,16.44085,19.11169,TRUE,FALSE,FALSE
RandomForest,descriptors,300,0.3,217,0.511291256,6.426321667,7.461516578,4.10948E+15,12.96714,13.9881,16.2625,TRUE,FALSE,FALSE
XGBoost,all,300,0.3,1408,0.509540777,5.433147468,7.474867634,1.545E+15,7.13457346,1.078299403,1.255056024,FALSE,FALSE,FALSE
RandomForest,all,400,0.3,1408,0.487005179,5.481201667,7.532497442,1.470747042,13.61204,17.64885,17.94163,TRUE,FALSE,FALSE
KNN,descriptors,350,0.2,217,0.483267289,6.5764,9.252829566,1.36729E+15,14.6398,14.6398,13.4822,TRUE,FALSE,FALSE
CatBoost,all,350,0.2,1408,0.48134838,6.836710123,9.269994033,3.2575E+15,5.620784326,10.63116324,8.747673542,FALSE,FALSE,FALSE
CatBoost,all,300,0.2,1408,0.469627932,6.481440564,9.053198951,3.5621E+15,9.06313651,11.53845667,10.72935121,FALSE,FALSE,FALSE
RandomForest,morgan,300,0.2,512,0.466490503,7.307845,9.079936671,7.41242E+15,6.74334,7.06765,6.30879,FALSE,FALSE,FALSE
RandomForest,rdkit,300,0.3,512,0.464329694,6.707711667,7.811795036,3.93291E+15,10.05542,15.96026,13.72982,TRUE,FALSE,FALSE
KNN,descriptors,300,0.2,217,0.461397063,6.37215,9.123177001,1.36729E+15,13.5406,13.5406,12.383,TRUE,FALSE,FALSE
CatBoost,morgan,325,0.2,512,0.451617959,2.048049827,2.517459549,1.15381E+15,9.343883179,11.95174397,10.55688054,FALSE,FALSE,FALSE
CatBoost,descriptors,400,0.2,217,0.451200203,6.217528571,8.187158503,0.41588537,11.42772567,15.21398576,15.05550114,TRUE,FALSE,FALSE
KNN,maccs,400,0.3,167,0.449829835,3.766266667,7.80065409,0.502357833,9.087,12.383,12.383,FALSE,FALSE,FALSE
RandomForest,descriptors,300,0.2,217,0.44548091,8.0522425,9.256994233,9.34805E+15,13.4905,14.84336,18.8032,TRUE,FALSE,FALSE
KNN,maccs,300,0.2,167,0.443650958,7.0178,9.272256016,2.37948E+15,10.8012,10.8012,10.8012,TRUE,FALSE,FALSE
KNN,rdkit,300,0.2,512,0.437179419,6.05435,9.326028261,8.18304E+14,2.3692,12.7324,10.2054,FALSE,FALSE,FALSE
KNN,all,300,0.2,1408,0.428256232,6.50685,9.399666869,2.66748E+15,10.4498,13.5406,13.5406,TRUE,FALSE,FALSE
RandomForest,all,350,0.2,1408,0.42656546,7.898945,9.747281515,6.27752E+15,11.23505,14.69226,14.73134,TRUE,FALSE,FALSE
CatBoost,descriptors,375,0.3,217,0.421724792,2.380757676,2.671386487,4.89025E+15,14.0700974,16.47292179,21.17436607,TRUE,FALSE,FALSE
KNN,descriptors,300,0.3,217,0.407711868,5.4282,8.21426234,9.11529E+14,12.0316,12.0316,12.383,TRUE,FALSE,FALSE
CatBoost,all,400,0.2,1408,0.40486357,5.921038074,8.525787331,0.387784796,7.703008597,10.10137744,11.05116654,FALSE,FALSE,FALSE
CatBoost,morgan,300,0.3,512,0.398989754,6.192177542,8.27452346,4.95953E+15,6.898004358,6.764694632,6.910646504,FALSE,FALSE,FALSE
XGBoost,descriptors,350,0.3,217,0.39707028,7.904776443,12.2334806,2.28975E+15,13.43458176,13.43458176,13.43458176,TRUE,FALSE,FALSE
KNN,descriptors,400,0.3,217,0.395064149,5.132433333,8.179696015,0.93488311,12.0316,12.0316,12.383,TRUE,FALSE,FALSE
RandomForest,morgan,350,0.2,512,0.392367216,6.7349425,10.03372477,7.12132E+15,5.85543,7.08101,6.05543,FALSE,FALSE,FALSE
KNN,maccs,350,0.2,167,0.384998043,8.9401,10.09438429,3.61707E+15,11.9004,11.9004,11.9004,TRUE,FALSE,FALSE
RandomForest,morgan,400,0.3,512,0.38137968,6.077015,8.271696535,1.306536443,6.95286,10.88062,8.3073,FALSE,FALSE,FALSE
CatBoost,morgan,300,0.2,512,0.381155098,7.784103728,9.779184749,1.09E+16,5.577717702,6.565610819,5.993104307,FALSE,FALSE,FALSE
RandomForest,all,300,0.3,1408,0.380783011,6.268928333,8.398920784,4.22086E+15,12.84533,16.27354,16.18995,TRUE,FALSE,FALSE
KNN,all,350,0.2,1408,0.37385573,7.75335,10.18541645,2.66748E+15,11.549,14.6398,14.6398,TRUE,FALSE,FALSE
XGBoost,all,400,0.2,1408,0.371672065,7.306094898,8.76030873,0.650974305,7.373196125,1.883590817,1.78723228,FALSE,FALSE,FALSE
CatBoost,morgan,400,0.3,512,0.370585511,5.777943069,8.343549951,0.853346947,6.71489154,9.928978248,8.257563117,FALSE,FALSE,FALSE
RandomForest,rdkit,400,0.2,512,0.362005121,8.52919,8.827441007,1.418924863,11.35237,15.6921,12.70033,TRUE,FALSE,FALSE
XGBoost,morgan,400,0.2,512,0.351417583,7.391075222,8.900385407,0.607607218,7.372560501,0.92609483,1.190585256,FALSE,FALSE,FALSE
CatBoost,rdkit,400,0.3,512,0.345344791,5.231314838,8.509201663,1.318321427,4.361184787,7.627842468,5.917671837,FALSE,FALSE,FALSE
RandomForest,all,400,0.2,1408,0.34105243,7.0591825,8.971223119,0.670010466,13.55029,16.71555,18.04455,TRUE,FALSE,FALSE
KNN,maccs,300,0.3,167,0.335473062,6.077133333,8.700783231,1.58632E+15,12.383,12.383,12.383,TRUE,FALSE,FALSE
RandomForest,rdkit,400,0.3,512,0.329744486,7.635726667,8.609991054,3.829996135,10.10179,16.1513,15.7434,TRUE,FALSE,FALSE
RandomForest,morgan,300,0.3,512,0.317557359,6.60794,8.817290127,5.04169E+15,5.15619,6.74105,5.26851,FALSE,FALSE,FALSE
XGBoost,all,250,0.2,1408,0.309636255,1.739708368,2.803684675,0.589501158,2.242488384,4.254817009,4.489251137,FALSE,FALSE,FALSE
SVR,rdkit,325,0.2,512,0.309124316,2.155429502,2.82566611,2.26553E+15,2.077177909,2.459353247,2.266377512,FALSE,FALSE,FALSE
CatBoost,rdkit,350,0.2,512,0.298951403,7.123501501,10.77744084,3.11961E+15,5.526028074,5.477516176,5.616193408,FALSE,FALSE,FALSE
SVR,rdkit,250,0.2,512,0.297536571,2.45846669,2.828147393,1.808868297,2.217831658,2.694639748,2.416332791,FALSE,FALSE,FALSE
SVR,rdkit,250,0.3,512,0.284702896,1.869636181,2.344988598,1.302257914,2.195599015,2.685056258,2.410899036,FALSE,FALSE,FALSE
RandomForest,morgan,325,0.2,512,0.271950231,2.41505,2.900690705,2.08415E+15,9.03908,11.78309,9.05008,FALSE,FALSE,FALSE
CatBoost,maccs,325,0.2,167,0.268089467,2.850350254,2.90837155,3.65937E+15,19.65069045,15.15695022,17.0172769,TRUE,FALSE,FALSE
CatBoost,morgan,325,0.3,512,0.263669226,2.261184051,2.55164662,2.86287E+15,7.922223531,16.38779232,11.65256642,FALSE,FALSE,FALSE
KNN,rdkit,300,0.3,512,0.262898679,6.2075,9.163589973,5.45536E+14,2.3692,11.3348,8.7224,FALSE,FALSE,FALSE
CatBoost,rdkit,300,0.2,512,0.261415198,6.166661527,10.68345993,2.67648E+15,6.029806804,5.866525442,5.807973145,FALSE,FALSE,FALSE
KNN,all,300,0.3,1408,0.258785676,6.673033333,9.189120684,1.77832E+15,8.9668,11.8264,12.0576,FALSE,FALSE,FALSE
XGBoost,all,250,0.3,1408,0.245833292,1.643509582,2.407859713,0.740725809,2.022597313,2.622116089,6.682847023,FALSE,FALSE,FALSE
KNN,all,400,0.3,1408,0.245035594,6.277233333,9.137886107,2.05325519,8.9668,11.8264,12.0576,FALSE,FALSE,FALSE
SVR,all,250,0.2,1408,0.243498868,2.388910377,2.934911236,1.570940412,2.133023775,2.542609511,2.319152336,FALSE,FALSE,FALSE
KNN,rdkit,400,0.3,512,0.242919953,6.010433333,9.150680725,1.892391768,2.1112,11.3348,8.6192,FALSE,FALSE,FALSE
XGBoost,maccs,275,0.3,167,0.237243761,5.683523674,9.239813981,3.5233E+14,0.767762959,0.19737488,5.924893379,FALSE,FALSE,FALSE
SVR,all,325,0.3,1408,0.235246486,2.024245262,2.600427758,3.4939E+15,2.211106096,2.636389637,2.412865179,FALSE,FALSE,FALSE
KNN,maccs,275,0.2,167,0.234466056,7.673,10.07046131,4.46172E+15,11.3438,11.9588,11.9004,TRUE,FALSE,FALSE
SVR,rdkit,325,0.3,512,0.234433868,2.189361426,2.601808982,4.20213E+15,2.367953217,2.910009826,2.614099279,FALSE,FALSE,FALSE
KNN,maccs,275,0.3,167,0.23201885,6.7056,9.27140652,1.6878E+15,10.1862,10.8012,10.8012,TRUE,FALSE,FALSE
SVR,all,325,0.2,1408,0.230867755,2.162426636,2.981407906,1.97113E+15,2.023041903,2.3547009,2.198045518,FALSE,FALSE,FALSE
XGBoost,rdkit,275,0.3,512,0.22989122,5.793214583,9.28424048,6.28126E+14,37.53756714,8.570878029,8.570825577,FALSE,FALSE,FALSE
SVR,all,250,0.3,1408,0.228476278,1.794428856,2.435410331,1.092978469,2.072852563,2.470276548,2.272604088,FALSE,FALSE,FALSE
KNN,descriptors,275,0.3,217,0.226423243,6.823866667,9.30512153,9.35097E+14,10.4498,10.4498,10.8012,TRUE,FALSE,FALSE
RandomForest,morgan,325,0.3,512,0.226285616,2.262973333,2.615618424,3.20967E+15,10.34557,14.20304,11.22363,TRUE,FALSE,FALSE
KNN,descriptors,275,0.2,217,0.2185348,7.68425,10.17470814,1.54158E+15,11.9588,11.9588,10.8012,TRUE,FALSE,FALSE
CatBoost,rdkit,300,0.3,512,0.216716379,6.027873254,9.446296565,1.92003E+15,3.827505254,5.817451687,5.704444399,FALSE,FALSE,FALSE
KNN,descriptors,400,0.2,217,0.206922809,6.96255,9.842013523,0.552504786,12.0316,12.0316,12.383,TRUE,FALSE,FALSE
XGBoost,descriptors,275,0.3,217,0.200346908,6.069657807,9.460653877,9.29356E+14,37.53814697,37.53837204,37.53812408,TRUE,FALSE,FALSE
KNN,rdkit,400,0.2,512,0.198783918,6.3251,9.892386051,0.426924282,2.266,11.4256,8.6192,FALSE,FALSE,FALSE
RandomForest,morgan,275,0.2,512,0.195178324,7.4854625,10.32563981,7.84043E+14,6.22842,7.952,6.93391,FALSE,FALSE,FALSE
SVR,descriptors,325,0.3,217,0.194497598,1.915313634,2.66880887,2.69862E+15,2.939297806,2.616015722,2.761886352,FALSE,FALSE,FALSE
KNN,all,400,0.2,1408,0.192912181,6.42565,9.928568208,0.416150089,8.9668,12.0406,12.0576,FALSE,FALSE,FALSE
RandomForest,morgan,400,0.2,512,0.19104362,8.0144925,9.940054822,0.69401606,6.60398,9.23158,7.34253,FALSE,FALSE,FALSE
XGBoost,rdkit,350,0.3,512,0.189104992,10.38682851,14.18727559,3.49191E+14,0.61662513,16.47870255,8.366218567,FALSE,FALSE,FALSE
SVR,morgan,325,0.3,512,0.18461698,1.975272212,2.685127325,3.00833E+15,2.385857759,2.587287815,2.478237517,FALSE,FALSE,FALSE
SVR,maccs,325,0.3,167,0.182304143,1.896030583,2.688932816,2.70322E+15,2.167084548,2.480869635,2.386930735,FALSE,FALSE,FALSE
CatBoost,all,275,0.3,1408,0.18034857,6.986022509,9.578223001,2.07632E+15,6.550136955,6.376881546,7.565410555,FALSE,FALSE,FALSE
RandomForest,morgan,275,0.3,512,0.179504303,6.69808,9.583154665,6.037E+14,3.34859,4.738,4.41973,FALSE,FALSE,FALSE
KNN,morgan,275,0.2,512,0.178858812,8.06455,10.42980185,4.55246E+15,11.3438,11.3438,11.3438,TRUE,FALSE,FALSE
CatBoost,morgan,350,0.3,512,0.172355468,9.31016291,14.33305003,3.2359E+15,3.799719439,3.582311373,3.433595547,FALSE,FALSE,FALSE
XGBoost,all,400,0.3,1408,0.168333371,7.573607261,9.590850914,3.914003952,6.973062515,16.48044586,1.535548806,FALSE,FALSE,FALSE
CatBoost,morgan,275,0.3,512,0.163470972,6.67511626,9.676334017,9.65952E+14,4.738582347,7.079909722,6.007510856,FALSE,FALSE,FALSE
RandomForest,maccs,350,0.3,167,0.156686051,10.51922167,14.46809439,2.15872E+15,7.95776,7.79401,8.54556,FALSE,FALSE,FALSE
CatBoost,morgan,400,0.2,512,0.151820397,8.44985869,10.17818029,0.893112631,7.062564687,10.65921861,9.270712866,FALSE,FALSE,FALSE
